iter	Passed	Remaining
0	45	136908
1	106	160123
2	140	140327
3	224	168478
4	334	200657
5	451	225084
6	557	238194
7	652	244170
8	750	249521
9	855	255714
10	971	263951
11	1081	269354
12	1186	272622
13	1287	274638
14	1391	276870
15	1497	279294
16	1607	282014
17	1725	285839
18	1830	287164
19	1931	287855
20	2036	288949
21	2147	290638
22	2259	292421
23	2348	291213
24	2458	292515
25	2569	293889
26	2674	294442
27	2794	296660
28	2900	297135
29	3004	297437
30	3106	297487
31	3216	298344
32	3327	299163
33	3431	299367
34	3535	299536
35	3639	299667
36	3719	297873
37	3824	298121
38	3937	298940
39	4050	299733
40	4156	299950
41	4256	299761
42	4377	301048
43	4488	301543
44	4539	298098
45	4664	299557
46	4776	300101
47	4824	296700
48	4850	292111
49	4957	292490
50	5084	294003
51	5199	294755
52	5305	295003
53	5409	295113
54	5515	295356
55	5629	295941
56	5739	296343
57	5834	295969
58	5939	296086
59	5992	293655
60	6095	293663
61	6209	294255
62	6324	294822
63	6438	295371
64	6553	295900
65	6691	297467
66	6794	297432
67	6825	294309
68	6921	294004
69	7028	294213
70	7140	294587
71	7254	295004
72	7326	293755
73	7425	293623
74	7529	293655
75	7619	293139
76	7747	294102
77	7853	294208
78	7965	294513
79	8074	294706
80	8194	295290
81	8303	295471
82	8403	295342
83	8496	294959
84	8602	295016
85	8714	295268
86	8813	295117
87	8918	295125
88	9017	294935
89	9114	294695
90	9219	294711
91	9325	294760
92	9433	294862
93	9552	295313
94	9585	293119
95	9694	293254
96	9798	293262
97	9910	293459
98	10017	293555
99	10124	293596
100	10240	293926
101	10330	293519
102	10452	293981
103	10571	294381
104	10683	294545
105	10792	294669
106	10891	294466
107	11007	294745
108	11108	294628
109	11213	294613
110	11317	294556
111	11379	293430
112	11480	293306
113	11589	293386
114	11690	293273
115	11733	291723
116	11827	291444
117	11871	289955
118	11911	288387
119	12004	288103
120	12108	288105
121	12216	288200
122	12339	288633
123	12442	288584
124	12548	288608
125	12656	288697
126	12772	288935
127	12804	287295
128	12846	285912
129	12950	285912
130	13060	286027
131	13153	285792
132	13186	284244
133	13224	282841
134	13263	281486
135	13369	281544
136	13498	282093
137	13530	280612
138	13557	279057
139	13584	277512
140	13697	277729
141	13729	276324
142	13838	276475
143	13948	276652
144	14059	276833
145	14126	276138
146	14232	276219
147	14298	275527
148	14409	275723
149	14495	275422
150	14607	275607
151	14713	275676
152	14761	274676
153	14853	274496
154	14952	274445
155	15066	274681
156	15176	274818
157	15285	274950
158	15365	274549
159	15465	274505
160	15570	274564
161	15676	274634
162	15783	274704
163	15881	274635
164	15912	273408
165	15952	272340
166	16000	271429
167	16041	270422
168	16159	270695
169	16263	270741
170	16318	269967
171	16421	269994
172	16525	270044
173	16629	270092
174	16662	268979
175	16759	268915
176	16863	268964
177	16970	269052
178	17008	268042
179	17102	267934
180	17215	268122
181	17322	268216
182	17427	268265
183	17535	268363
184	17570	267353
185	17678	267454
186	17789	267600
187	17895	267664
188	17995	267650
189	18052	266982
190	18147	266890
191	18265	267139
192	18375	267251
193	18483	267343
194	18541	266708
195	18603	266144
196	18641	265242
197	18678	264326
198	18800	264618
199	18907	264699
200	18940	263748
201	18979	262889
202	19033	262254
203	19133	262239
204	19234	262251
205	19343	262361
206	19444	262356
207	19550	262426
208	19661	262563
209	19695	261670
210	19798	261696
211	19871	261333
212	19970	261310
213	20003	260413
214	20115	260561
