module,user_id,course_id,teacher_id,group_template_id,level,course_name,enrolled_at,lessons_viewed,content_viewed,content_threshold_status,online_attended_status,solved_homeworks_count,required_homeworks_status,current_control_status,pa_score,pa_passed_status,pa_submitted_at,reflection_status,target_status
1,701741,1029,699869,1149,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,20,100.0,Да,Нет,60,Да,Да,15.0,Да,2025-12-05,,Завершил
1,737977,1029,730341,1216,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,20,97.91546,Да,Да,60,Да,Да,14.0,Да,2025-11-29,,Завершил
1,722851,1030,730208,1186,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-10-21,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,709724,1030,700089,1108,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-23,20,99.16002,Да,Да,60,Да,Да,14.0,Да,2025-11-28,,Завершил
1,717763,1030,718519,1055,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-10-09,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,702581,1030,702887,1153,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,20,99.77778,Да,Да,60,Да,Да,11.5,Да,2025-11-29,,Завершил
1,701022,1029,700003,1151,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,717748,1030,730208,1186,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-10-09,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,701139,1029,727409,1152,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-10-13,20,97.860886,Да,Да,60,Да,Да,10.33,Да,2025-11-29,,Завершил
1,701139,1029,731445,1152,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-10-13,20,97.860886,Да,Да,60,Да,Да,10.33,Да,2025-11-29,,Завершил
1,729492,1029,733081,1215,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,19,97.13043,Да,Да,60,Да,Да,14.0,Да,2025-11-30,,Завершил
1,733054,1029,730341,1216,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,19,94.99758,Да,Да,60,Да,Да,13.0,Да,2025-11-29,,Завершил
1,706584,1030,728855,1173,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-10-01,6,35.02392,Нет,Да,24,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,729760,1029,730341,1212,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,20,99.021736,Да,Да,60,Да,Да,14.0,Да,2025-11-29,,Завершил
1,702459,1030,675235,1116,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,15,86.2584,Да,Да,60,Да,Да,15.0,Да,2025-11-30,,Завершил
1,706777,1030,720071,1064,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,20,96.861115,Да,Нет,60,Да,Да,13.0,Да,2025-11-25,,Завершил
1,738304,1029,730341,1212,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,17,81.57881,Да,Да,60,Да,Да,12.33,Да,2025-11-29,,Завершил
1,704362,1030,700669,1118,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,20,99.65909,Да,Нет,60,Да,Да,15.0,Да,2025-11-30,,Завершил
1,707600,1029,674580,1141,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,20,98.87626,Да,Да,60,Да,Да,15.0,Да,2025-11-30,,Завершил
1,707598,1029,674580,1141,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-10-13,19,93.88845,Да,Да,60,Да,Да,13.0,Да,2025-11-30,,Завершил
1,718969,1030,732739,1197,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-10-10,18,91.65033,Да,Нет,60,Да,Да,15.0,Да,2025-12-04,,Завершил
1,729699,1029,730341,1216,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,19,95.21739,Да,Нет,60,Да,Да,14.0,Да,2025-11-29,,Завершил
1,715396,1030,728855,1173,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-10-03,0,1.3333334,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,702732,1029,702887,1161,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,18,89.891304,Да,Да,60,Да,Да,15.0,Да,2025-11-30,,Завершил
1,701988,1030,675235,1116,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,19,95.54106,Да,Да,60,Да,Да,14.0,Да,2025-11-30,,Завершил
1,706096,1030,718895,1142,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,17,88.37883,Да,Да,60,Да,Да,14.5,Да,2025-11-29,,Завершил
1,705453,1030,702887,1153,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,20,99.347824,Да,Да,60,Да,Да,14.0,Да,2025-11-28,,Завершил
1,703628,1029,720071,1069,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,19,93.05426,Да,Да,60,Да,Да,12.0,Да,2025-12-05,,Завершил
1,710071,1030,675235,1105,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-24,18,96.14863,Да,Да,60,Да,Да,14.0,Да,2025-12-01,,Завершил
1,726186,1030,731445,1185,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-11-01,0,6.6962147,Нет,Нет,12,Нет,Да,,Не сдавал,,,Отчислен
1,720615,1029,732074,1188,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-10-15,10,51.923355,Нет,Да,42,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,706104,1030,720071,1064,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,20,99.562805,Да,Да,60,Да,Да,13.0,Да,2025-12-01,,Завершил
1,711975,1029,700669,1104,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-10-02,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,705878,1030,702887,1153,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,20,97.48299,Да,Да,60,Да,Да,15.0,Да,2025-11-28,,Завершил
1,702137,1029,699869,1067,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,20,99.44444,Да,Нет,60,Да,Да,11.0,Да,2025-12-04,,Завершил
1,702479,1030,700089,1108,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,16,80.918365,Да,Нет,60,Да,Да,15.0,Да,2025-11-29,,Завершил
1,703733,1030,732739,1197,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,1,7.2684374,Нет,Нет,25,Нет,Да,,Не сдавал,,,Отчислен
1,703696,1029,699869,1068,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,15,80.648605,Да,Да,60,Да,Да,9.0,Да,2025-11-29,,Завершил
1,702882,1029,700669,1106,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,0,0.44444445,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,728923,1030,728618,1195,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-11-05,20,98.63636,Да,Да,60,Да,Да,15.0,Да,2025-11-27,,Завершил
1,702168,1029,720071,1069,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,20,99.888885,Да,Нет,60,Да,Да,14.0,Да,2025-11-29,,Завершил
1,728520,1030,728618,1195,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-11-05,20,98.24627,Да,Да,60,Да,Да,15.0,Да,2025-11-29,,Завершил
1,729190,1029,733081,1215,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,20,97.60628,Да,Да,60,Да,Да,14.0,Да,2025-11-28,,Завершил
1,729382,1029,730341,1212,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,19,95.403076,Да,Да,60,Да,Да,12.0,Да,2025-11-30,,Завершил
1,737133,1029,730341,1212,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-12,18,92.88879,Да,Да,60,Да,Да,14.0,Да,2025-12-11,,Завершил
1,729027,1029,730341,1212,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,18,91.20177,Да,Да,60,Да,Да,13.0,Да,2025-11-29,,Завершил
1,715531,1030,666876,1054,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-10-06,20,99.347824,Да,Нет,60,Да,Да,12.5,Да,2025-11-30,,Завершил
1,726689,1030,728618,1196,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-11-05,20,97.07016,Да,Да,60,Да,Да,15.0,Да,2025-11-29,,Завершил
1,715831,1029,700140,1061,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-10-06,2,10.990551,Нет,Нет,0,Нет,Да,,Не сдавал,,,Отчислен
1,726495,1030,728618,1196,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-11-05,20,99.77273,Да,Да,60,Да,Да,15.0,Да,2025-11-29,,Завершил
1,704183,1030,720071,1064,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,19,93.34858,Да,Да,60,Да,Да,13.5,Да,2025-12-03,,Завершил
1,703335,1030,700669,1118,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,13,81.30321,Да,Нет,60,Да,Да,14.0,Да,2025-12-05,,Завершил
1,728047,1029,730341,1212,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,20,98.709526,Да,Да,60,Да,Да,13.5,Да,2025-11-29,,Завершил
1,707549,1029,702887,1161,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,19,97.07017,Да,Да,60,Да,Да,15.0,Да,2025-11-29,,Завершил
1,738228,1029,733081,1213,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,0,5.900966,Нет,Нет,21,Нет,Не сдавал,,Не сдавал,,,Отчислен
