,module,user_id,club_name,teacher_id,course_id,cohort_id,level_bin,enrollment_date,lessons_watched_total,lessons_watched_80_count,content_units_watched,view_criterion,webinar_attended,solved_hw_count,required_hw_done,current_control_passed,reflection_passed,pa_score,pa_passed,pa_date_msk,ia_passed,status_actual,feature_webinar_attended,feature_view_criterion,feature_required_hw_done,feature_current_control_passed,feature_reflection_passed,feature_reflection_available,feature_pa_score_ge_8,feature_pa_passed,status_by_doc_heuristic,status_by_best_heuristic
0,1,701741.0,Python. Начальный уровень. Онлайн. 1 модуль,699869.0,1029.0,1149.0,0,2025-09-19,20,,100.0,1,0,60,1,1,,15.0,1,2025-12-05,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
1,1,737977.0,Python. Начальный уровень. Онлайн. 1 модуль,730341.0,1029.0,1216.0,0,2025-11-05,20,,97.91545893719808,1,1,60,1,1,,14.0,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
2,1,722851.0,Python. Базовый уровень. Онлайн. 1 модуль,730208.0,1030.0,1186.0,1,2025-10-21,0,,0.0,0,0,0,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
3,1,709724.0,Python. Базовый уровень. Онлайн. 1 модуль,700089.0,1030.0,1108.0,1,2025-09-23,20,,99.16001773049643,1,1,60,1,1,,14.0,1,2025-11-28,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
4,1,717763.0,Python. Базовый уровень. Онлайн. 1 модуль,718519.0,1030.0,1055.0,1,2025-10-09,0,,0.0,0,0,0,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
5,1,702581.0,Python. Базовый уровень. Онлайн. 1 модуль,702887.0,1030.0,1153.0,1,2025-09-19,20,,99.77777777777776,1,1,60,1,1,,11.5,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
6,1,701022.0,Python. Начальный уровень. Онлайн. 1 модуль,700003.0,1029.0,1151.0,0,2025-09-19,0,,0.0,0,0,0,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
7,1,717748.0,Python. Базовый уровень. Онлайн. 1 модуль,730208.0,1030.0,1186.0,1,2025-10-09,0,,0.0,0,0,0,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
8,1,701139.0,Python. Начальный уровень. Онлайн. 1 модуль,727409.0,1029.0,1152.0,0,2025-10-13,20,,97.86088527551942,1,1,60,1,1,,10.33,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
9,1,729492.0,Python. Начальный уровень. Онлайн. 1 модуль,733081.0,1029.0,1215.0,0,2025-11-05,19,,97.1304347826087,1,1,60,1,1,,14.0,1,2025-11-30,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
10,1,733054.0,Python. Начальный уровень. Онлайн. 1 модуль,730341.0,1029.0,1216.0,0,2025-11-05,19,,94.9975845410628,1,1,60,1,1,,13.0,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
11,1,706584.0,Python. Базовый уровень. Онлайн. 1 модуль,728855.0,1030.0,1173.0,1,2025-10-01,6,,35.02391866533474,0,1,24,0,0,,,0,,,Отчислен,1,0,0,0,0,0,0,0,Dropped,Dropped
12,1,729760.0,Python. Начальный уровень. Онлайн. 1 модуль,730341.0,1029.0,1212.0,0,2025-11-05,20,,99.02173913043478,1,1,60,1,1,,14.0,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
13,1,702459.0,Python. Базовый уровень. Онлайн. 1 модуль,675235.0,1030.0,1116.0,1,2025-09-19,15,,86.25839793281654,1,1,60,1,1,,15.0,1,2025-11-30,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
14,1,706777.0,Python. Базовый уровень. Онлайн. 1 модуль,720071.0,1030.0,1064.0,1,2025-09-19,20,,96.86111111111111,1,0,60,1,1,,13.0,1,2025-11-25,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
15,1,738304.0,Python. Начальный уровень. Онлайн. 1 модуль,730341.0,1029.0,1212.0,0,2025-11-05,17,,81.57881413434939,1,1,60,1,1,,12.33,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
16,1,704362.0,Python. Базовый уровень. Онлайн. 1 модуль,700669.0,1030.0,1118.0,1,2025-09-19,20,,99.6590909090909,1,0,60,1,1,,15.0,1,2025-11-30,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
17,1,707600.0,Python. Начальный уровень. Онлайн. 1 модуль,674580.0,1029.0,1141.0,0,2025-09-19,20,,98.87626262626264,1,1,60,1,1,,15.0,1,2025-11-30,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
18,1,707598.0,Python. Начальный уровень. Онлайн. 1 модуль,674580.0,1029.0,1141.0,0,2025-10-13,19,,93.88844971453668,1,1,60,1,1,,13.0,1,2025-11-30,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
19,1,718969.0,Python. Базовый уровень. Онлайн. 1 модуль,732739.0,1030.0,1197.0,1,2025-10-10,18,,91.65032707891623,1,0,60,1,1,,15.0,1,2025-12-04,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
20,1,729699.0,Python. Начальный уровень. Онлайн. 1 модуль,730341.0,1029.0,1216.0,0,2025-11-05,19,,95.21739130434784,1,0,60,1,1,,14.0,1,2025-11-29,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
21,1,715396.0,Python. Базовый уровень. Онлайн. 1 модуль,728855.0,1030.0,1173.0,1,2025-10-03,0,,1.3333333333333333,0,0,0,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
22,1,702732.0,Python. Начальный уровень. Онлайн. 1 модуль,702887.0,1029.0,1161.0,0,2025-09-19,18,,89.8913043478261,1,1,60,1,1,,15.0,1,2025-11-30,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
23,1,701988.0,Python. Базовый уровень. Онлайн. 1 модуль,675235.0,1030.0,1116.0,1,2025-09-19,19,,95.54106280193236,1,1,60,1,1,,14.0,1,2025-11-30,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
24,1,706096.0,Python. Базовый уровень. Онлайн. 1 модуль,718895.0,1030.0,1142.0,1,2025-09-19,17,,88.37883269249728,1,1,60,1,1,,14.5,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
25,1,705453.0,Python. Базовый уровень. Онлайн. 1 модуль,702887.0,1030.0,1153.0,1,2025-09-19,20,,99.34782608695652,1,1,60,1,1,,14.0,1,2025-11-28,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
26,1,703628.0,Python. Начальный уровень. Онлайн. 1 модуль,720071.0,1029.0,1069.0,0,2025-09-19,19,,93.05426356589147,1,1,60,1,1,,12.0,1,2025-12-05,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
27,1,710071.0,Python. Базовый уровень. Онлайн. 1 модуль,675235.0,1030.0,1105.0,1,2025-09-24,18,,96.14862914862915,1,1,60,1,1,,14.0,1,2025-12-01,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
28,1,726186.0,Python. Базовый уровень. Онлайн. 1 модуль,731445.0,1030.0,1185.0,1,2025-11-01,0,,6.696214638075103,0,0,12,0,1,,,0,,,Отчислен,0,0,0,1,0,0,0,0,Dropped,Dropped
29,1,720615.0,Python. Начальный уровень. Онлайн. 1 модуль,732074.0,1029.0,1188.0,0,2025-10-15,10,,51.923355173355176,0,1,42,0,0,,,0,,,Отчислен,1,0,0,0,0,0,0,0,Dropped,Dropped
30,1,706104.0,Python. Базовый уровень. Онлайн. 1 модуль,720071.0,1030.0,1064.0,1,2025-09-19,20,,99.56280193236717,1,1,60,1,1,,13.0,1,2025-12-01,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
31,1,711975.0,Python. Начальный уровень. Онлайн. 1 модуль,700669.0,1029.0,1104.0,0,2025-10-02,0,,0.0,0,0,0,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
32,1,705878.0,Python. Базовый уровень. Онлайн. 1 модуль,702887.0,1030.0,1153.0,1,2025-09-19,20,,97.48298900195292,1,1,60,1,1,,15.0,1,2025-11-28,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
33,1,702137.0,Python. Начальный уровень. Онлайн. 1 модуль,699869.0,1029.0,1067.0,0,2025-09-19,20,,99.44444444444444,1,0,60,1,1,,11.0,1,2025-12-04,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
34,1,702479.0,Python. Базовый уровень. Онлайн. 1 модуль,700089.0,1030.0,1108.0,1,2025-09-19,16,,80.91836734693878,1,0,60,1,1,,15.0,1,2025-11-29,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
35,1,703733.0,Python. Базовый уровень. Онлайн. 1 модуль,732739.0,1030.0,1197.0,1,2025-09-19,1,,7.2684373318482995,0,0,25,0,1,,,0,,,Отчислен,0,0,0,1,0,0,0,0,Dropped,Dropped
36,1,703696.0,Python. Начальный уровень. Онлайн. 1 модуль,699869.0,1029.0,1068.0,0,2025-09-19,15,,80.6486035351667,1,1,60,1,1,,9.0,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
37,1,702882.0,Python. Начальный уровень. Онлайн. 1 модуль,700669.0,1029.0,1106.0,0,2025-09-19,0,,0.4444444444444444,0,0,0,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
38,1,728923.0,Python. Базовый уровень. Онлайн. 1 модуль,728618.0,1030.0,1195.0,1,2025-11-05,20,,98.63636363636364,1,1,60,1,1,,15.0,1,2025-11-27,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
39,1,702168.0,Python. Начальный уровень. Онлайн. 1 модуль,720071.0,1029.0,1069.0,0,2025-09-19,20,,99.88888888888889,1,0,60,1,1,,14.0,1,2025-11-29,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
40,1,728520.0,Python. Базовый уровень. Онлайн. 1 модуль,728618.0,1030.0,1195.0,1,2025-11-05,20,,98.24626701800617,1,1,60,1,1,,15.0,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
41,1,729190.0,Python. Начальный уровень. Онлайн. 1 модуль,733081.0,1029.0,1215.0,0,2025-11-05,20,,97.60628019323671,1,1,60,1,1,,14.0,1,2025-11-28,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
42,1,729382.0,Python. Начальный уровень. Онлайн. 1 модуль,730341.0,1029.0,1212.0,0,2025-11-05,19,,95.40307971014492,1,1,60,1,1,,12.0,1,2025-11-30,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
43,1,737133.0,Python. Начальный уровень. Онлайн. 1 модуль,730341.0,1029.0,1212.0,0,2025-11-12,18,,92.8887861034022,1,1,60,1,1,,14.0,1,2025-12-11,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
